epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.9105,1.38678,3.79578,0.00737,0.01456,0.62042,0.17066,0.15455,0.33136,3.61439,0.0026,0.0015,0.0005,0.0015,0.0005,0.0965,0.0955,0.0015,0.0005
2,36.3416,1.21389,3.58542,0.00655,0.0187,0.65809,0.17772,0.15908,0.42749,3.6033,0.00356,0.00326733,0.00108911,0.00326733,0.00108911,0.0922673,0.0900891,0.00326733,0.00108911
3,55.9088,1.03901,3.28167,0.00524,0.02425,0.76599,0.17798,0.13618,0.5177,3.51217,0.00413,0.00499902,0.00166634,0.00499902,0.00166634,0.087999,0.0846663,0.00499902,0.00166634
4,75.4488,1.04467,2.96727,0.00563,0.02417,0.78242,0.22949,0.15845,0.65605,3.53097,0.00538,0.00669507,0.00223169,0.00669507,0.00223169,0.0836951,0.0792317,0.00669507,0.00223169
5,95.8029,1.08167,2.62051,0.00563,0.02103,0.80087,0.30335,0.24465,0.45125,3.45757,0.00398,0.00835548,0.00278516,0.00835548,0.00278516,0.0793555,0.0737852,0.00835548,0.00278516
6,116.299,1.0467,2.41977,0.00538,0.02312,0.98558,0.38679,0.28696,0.60569,3.40458,0.00525,0.00998025,0.00332675,0.00998025,0.00332675,0.0749802,0.0683268,0.00998025,0.00332675
7,136.983,1.04991,2.27425,0.00574,0.02134,0.99519,0.45997,0.38117,0.50125,3.28945,0.00408,0.0115694,0.00385646,0.0115694,0.00385646,0.0705694,0.0628565,0.0115694,0.00385646
8,159.681,1.12255,2.17616,0.00592,0.0213,1,0.47946,0.35735,0.77214,3.21265,0.00643,0.0131229,0.00437429,0.0131229,0.00437429,0.0661229,0.0573743,0.0131229,0.00437429
9,180.932,1.07462,2.02636,0.00574,0.02135,0.99519,0.58906,0.49315,0.54511,3.00247,0.00473,0.0146407,0.00488024,0.0146407,0.00488024,0.0616407,0.0518802,0.0146407,0.00488024
10,206.661,1.10881,1.95589,0.00594,0.02131,0.99519,0.61673,0.51302,0.54936,2.86055,0.005,0.0161229,0.00537431,0.0161229,0.00537431,0.0571229,0.0463743,0.0161229,0.00537431
11,232.097,1.14463,1.96058,0.00573,0.02126,0.99519,0.6576,0.5532,0.60503,2.70884,0.00553,0.0175695,0.0058565,0.0175695,0.0058565,0.0525695,0.0408565,0.0175695,0.0058565
12,256.554,1.14647,1.83505,0.00587,0.19346,0.98558,0.69557,0.55259,0.71623,2.6367,0.0065,0.0189804,0.00632681,0.0189804,0.00632681,0.0479804,0.0353268,0.0189804,0.00632681
13,276.383,1.13676,1.77705,0.00595,0.52982,0.63577,0.67497,0.5526,0.64478,2.58343,0.00618,0.0203557,0.00678524,0.0203557,0.00678524,0.0433557,0.0297852,0.0203557,0.00678524
14,299.216,1.14458,1.69002,0.0056,0.76216,0.16622,0.68804,0.55359,0.76056,2.41586,0.00813,0.0216954,0.00723179,0.0216954,0.00723179,0.0386954,0.0242318,0.0216954,0.00723179
15,323.624,1.0551,1.695,0.00615,0.91892,0.19529,0.69173,0.46582,1.09332,2.53109,0.01073,0.0229994,0.00766646,0.0229994,0.00766646,0.0339994,0.0186665,0.0229994,0.00766646
16,349.255,1.13511,1.62021,0.00582,0.8414,0.52706,0.72754,0.50516,1.02258,2.24604,0.0088,0.0242678,0.00808925,0.0242678,0.00808925,0.0292677,0.0130892,0.0242678,0.00808925
17,374.446,1.05321,1.65505,0.00593,0.92273,0.4614,0.76299,0.60639,0.76002,2.16887,0.00655,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,394.444,1.15394,1.54013,0.0064,0.73861,0.60006,0.77198,0.63583,0.73429,1.9499,0.00723,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,417.711,1.08902,1.45049,0.00574,0.92978,0.51666,0.78702,0.52854,1.18928,1.80215,0.0104,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,438.903,1.09155,1.49799,0.00599,0.87839,0.57156,0.77441,0.56088,1.0119,1.66303,0.00847,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,460.795,1.08534,1.43046,0.00621,0.8676,0.49665,0.75984,0.58772,0.88062,1.82159,0.00925,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,483.468,1.07165,1.37449,0.0058,0.62079,0.67934,0.76599,0.58604,0.84388,1.75767,0.00851,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,504.185,1.08419,1.3744,0.00604,0.76587,0.65028,0.74101,0.56248,0.97316,1.54812,0.00814,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,528.51,1.08628,1.36396,0.0058,0.7932,0.7282,0.78802,0.60702,0.97014,1.34764,0.00859,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,549.182,1.12628,1.30677,0.00589,0.88274,0.68974,0.82721,0.53671,1.22261,1.36141,0.01118,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,572.767,1.11032,1.27812,0.00588,0.87562,0.68344,0.83723,0.57643,1.12699,1.2896,0.01093,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,598.143,1.09522,1.28595,0.00589,0.81292,0.73086,0.81961,0.65014,0.82965,1.30886,0.00705,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,617.787,1.04867,1.21415,0.00566,0.7955,0.71078,0.80948,0.60945,0.9215,1.37134,0.0072,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
